"CLUSTERS";"Connectivity";"Dunn";"Silhouette";"mean_sil";"kMAX_sil";"kMAX_elems"
"6";"166.995634920635";"0.0970314926774485";"0.26930059832868";"0.526359963241563";"0.374798003423244";"205"
"7";"178.750793650794";"0.105640934190163";"0.258254231192702";"0.522873895929558";"0.395750549524569";"188"
"8";"255.130555555556";"0.108158687515487";"0.20278993314938";"0.516825911314807";"0.565381185096619";"185"
"9";"294.505158730159";"0.0853035928113711";"0.152298411958711";"0.504317590811738";"0.421277322228201";"146"
"10";"309.314682539683";"0.0873295400144987";"0.156116092762151";"0.495579120435667";"0.340268991485079";"140"
"11";"312.028174603175";"0.088242611033177";"0.155841972450141";"0.497009057754741";"0.52804847039954";"137"
"12";"316.365079365079";"0.0970990799178768";"0.172631423765422";"0.484368067579091";"0.3719596108284";"122"
"13";"318.463095238095";"0.102396837361474";"0.171777214768714";"0.483448837956239";"0.328429577513464";"109"
"14";"324.926984126984";"0.109029200819673";"0.166394772660723";"0.487075667466637";"0.391048188389784";"96"
